,train,val,test
186,LUAD504,,LUSC32
187,LUSC10,,LUSC397
188,LUAD305,,LUAD483
189,LUSC227,,LUSC504
190,LUAD172,,LUSC117
191,LUAD181,,LUAD168
192,LUAD257,,LUSC283
193,LUAD301,,LUSC439
194,LUAD374,,LUAD384
195,LUAD368,,LUSC418
196,LUSC82,,LUAD491
197,LUSC360,,LUAD246
198,LUAD477,,LUSC271
199,LUSC187,,LUAD455
200,LUSC421,,LUAD170
201,LUAD108,,LUSC343
202,LUAD138,,LUSC310
203,LUAD277,,LUAD500
204,LUAD435,,LUSC150
205,LUSC347,,LUAD341
206,LUAD400,,LUSC262
207,LUAD288,,LUAD280
208,LUSC56,,LUSC435
209,LUAD214,,LUAD163
210,LUSC426,,LUAD153
211,LUAD413,,LUSC24
212,LUAD243,,LUAD82
213,LUAD476,,LUAD355
214,LUSC313,,LUSC431
215,LUSC395,,LUAD506
216,LUSC89,,LUSC407
217,LUSC385,,LUSC182
218,LUAD18,,LUSC501
219,LUAD371,,LUAD69
220,LUSC151,,LUAD443
221,LUAD65,,LUAD481
222,LUAD472,,LUAD428
223,LUSC94,,LUAD313
224,LUSC119,,LUAD462
225,LUAD314,,LUAD454
226,LUAD306,,LUSC193
227,LUSC228,,LUSC427
228,LUSC95,,LUSC390
229,LUAD134,,LUAD339
230,LUSC398,,LUSC409
231,LUAD196,,LUAD228
232,LUSC281,,LUAD383
233,LUAD218,,LUAD200
234,LUSC170,,LUAD272
235,LUSC354,,LUAD45
236,LUSC440,,LUSC255
237,LUAD43,,LUSC179
238,LUAD390,,LUAD427
239,LUSC42,,LUAD114
240,LUSC72,,LUAD120
241,LUAD437,,LUSC348
242,LUSC289,,LUAD14
243,LUAD261,,LUSC452
244,LUSC472,,LUSC203
245,LUSC174,,LUAD62
246,LUSC500,,LUSC424
247,LUAD524,,LUSC404
248,LUSC256,,LUAD324
249,LUSC210,,LUAD207
250,LUAD111,,LUAD26
251,LUAD187,,LUSC93
252,LUSC140,,LUSC298
253,LUSC173,,LUAD32
254,LUAD6,,LUSC445
255,LUSC211,,LUAD25
256,LUSC217,,LUAD452
257,LUAD146,,LUAD215
258,LUSC349,,LUAD386
259,LUSC213,,LUAD365
260,LUAD430,,
261,LUAD378,,
262,LUAD217,,
263,LUAD195,,
264,LUSC105,,
265,LUSC419,,
266,LUSC511,,
267,LUAD132,,
268,LUSC28,,
269,LUSC3,,
270,LUAD5,,
271,LUAD412,,
272,LUAD508,,
273,LUSC60,,
274,LUAD447,,
275,LUAD76,,
276,LUSC388,,
277,LUSC420,,
278,LUAD256,,
279,LUSC84,,
280,LUSC463,,
281,LUSC270,,
282,LUSC334,,
283,LUSC434,,
284,LUAD233,,
285,LUSC31,,
286,LUAD433,,
287,LUSC104,,
288,LUSC158,,
289,LUSC209,,
290,LUSC260,,
291,LUAD74,,
292,LUSC154,,
293,LUSC451,,
294,LUSC238,,
295,LUAD225,,
296,LUSC449,,
297,LUSC131,,
298,LUAD487,,
299,LUAD502,,
300,LUAD510,,
301,LUAD229,,
302,LUSC11,,
303,LUAD463,,
304,LUSC290,,
305,LUSC292,,
306,LUAD106,,
307,LUAD128,,
308,LUSC195,,
309,LUSC476,,
310,LUAD95,,
311,LUSC456,,
312,LUAD206,,
313,LUSC474,,
314,LUSC509,,
315,LUSC246,,
316,LUSC304,,
317,LUSC379,,
318,LUSC53,,
319,LUSC67,,
320,LUSC331,,
321,LUAD490,,
322,LUAD406,,
323,LUSC133,,
324,LUSC216,,
325,LUAD528,,
326,LUAD387,,
327,LUAD100,,
328,LUAD470,,
329,LUSC130,,
330,LUAD509,,
331,LUAD485,,
332,LUAD166,,
333,LUSC219,,
334,LUAD192,,
335,LUAD375,,
336,LUSC122,,
337,LUAD231,,
338,LUSC92,,
339,LUSC29,,
340,LUAD49,,
341,LUSC20,,
342,LUSC65,,
343,LUAD157,,
344,LUSC402,,
345,LUSC6,,
346,LUSC19,,
347,LUAD259,,
348,LUSC231,,
349,LUSC68,,
350,LUSC18,,
351,LUSC74,,
352,LUSC234,,
353,LUSC137,,
354,LUSC299,,
355,LUSC368,,
356,LUSC237,,
357,LUSC141,,
358,LUAD219,,
359,LUAD224,,
360,LUAD77,,
361,LUSC202,,
362,LUAD418,,
363,LUAD492,,
364,LUAD238,,
365,LUAD429,,
366,LUSC80,,
367,LUAD236,,
368,LUAD117,,
369,LUSC100,,
370,LUAD21,,
371,LUAD209,,
372,LUAD420,,
373,LUAD297,,
374,LUAD52,,
375,LUSC335,,
376,LUAD67,,
377,LUSC159,,
378,LUSC160,,
379,LUSC76,,
380,LUSC319,,
381,LUSC77,,
382,LUSC4,,
383,LUSC35,,
384,LUAD227,,
385,LUSC204,,
386,LUAD335,,
387,LUSC461,,
388,LUAD369,,
389,LUSC208,,
390,LUSC437,,
391,LUAD522,,
392,LUSC146,,
393,LUSC280,,
394,LUAD449,,
395,LUAD376,,
396,LUSC229,,
397,LUSC399,,
398,LUSC502,,
399,LUSC45,,
400,LUSC49,,
401,LUSC330,,
402,LUAD392,,
403,LUAD331,,
404,LUAD113,,
405,LUAD362,,
406,LUAD346,,
407,LUAD4,,
408,LUSC98,,
409,LUSC336,,
410,LUSC429,,
411,LUSC192,,
412,LUAD380,,
413,LUSC145,,
414,LUAD308,,
415,LUSC482,,
416,LUAD299,,
417,LUSC269,,
418,LUSC371,,
419,LUSC448,,
420,LUAD182,,
421,LUSC308,,
422,LUAD494,,
423,LUAD110,,
424,LUSC454,,
425,LUSC247,,
426,LUAD92,,
427,LUSC222,,
428,LUAD85,,
429,LUSC366,,
430,LUSC189,,
431,LUSC157,,
432,LUAD96,,
433,LUAD58,,
434,LUAD424,,
435,LUSC352,,
436,LUSC322,,
437,LUSC64,,
438,LUSC365,,
439,LUAD10,,
440,LUSC1,,
441,LUSC236,,
442,LUSC408,,
443,LUAD104,,
444,LUAD63,,
445,LUAD47,,
446,LUAD264,,
447,LUAD101,,
448,LUSC469,,
449,LUAD382,,
450,LUSC99,,
451,LUSC294,,
452,LUAD484,,
453,LUAD46,,
454,LUSC493,,
455,LUSC239,,
456,LUSC428,,
457,LUAD401,,
458,LUAD338,,
459,LUSC316,,
460,LUAD489,,
461,LUAD22,,
462,LUAD337,,
463,LUAD511,,
464,LUAD520,,
465,LUSC168,,
466,LUAD184,,
467,LUSC369,,
468,LUSC191,,
469,LUSC497,,
470,LUSC275,,
471,LUSC483,,
472,LUAD410,,
473,LUSC2,,
474,LUSC405,,
475,LUSC8,,
476,LUSC186,,
477,LUAD234,,
478,LUAD55,,
479,LUAD515,,
480,LUSC197,,
481,LUSC16,,
482,LUAD17,,
483,LUAD352,,
484,LUAD144,,
485,LUSC185,,
486,LUAD290,,
487,LUAD186,,
488,LUAD343,,
489,LUSC223,,
490,LUAD102,,
491,LUAD281,,
492,LUAD201,,
493,LUSC113,,
494,LUAD465,,
495,LUSC107,,
496,LUSC447,,
497,LUSC297,,
498,LUAD273,,
499,LUAD250,,
500,LUSC139,,
501,LUAD310,,
502,LUSC356,,
503,LUAD402,,
504,LUAD295,,
505,LUSC30,,
506,LUSC442,,
507,LUAD137,,
508,LUSC171,,
509,LUAD270,,
510,LUSC176,,
511,LUSC285,,
512,LUSC438,,
513,LUAD28,,
514,LUAD235,,
515,LUSC507,,
516,LUSC340,,
517,LUSC22,,
518,LUSC471,,
519,LUSC358,,
520,LUAD360,,
521,LUAD466,,
522,LUAD115,,
523,LUSC212,,
524,LUAD493,,
525,LUAD471,,
526,LUSC370,,
527,LUAD268,,
528,LUSC475,,
529,LUAD351,,
530,LUSC487,,
531,LUAD193,,
532,LUSC337,,
533,LUSC178,,
534,LUSC284,,
535,LUAD121,,
536,LUAD358,,
537,LUSC508,,
538,LUSC175,,
539,LUAD86,,
540,LUAD139,,
541,LUSC116,,
542,LUSC433,,
543,LUSC277,,
544,LUSC194,,
545,LUSC321,,
546,LUSC103,,
547,LUAD8,,
548,LUSC345,,
549,LUAD456,,
550,LUAD16,,
551,LUAD221,,
552,LUAD119,,
553,LUAD417,,
554,LUSC9,,
555,LUSC167,,
556,LUAD482,,
557,LUAD269,,
558,LUSC359,,
559,LUAD211,,
560,LUSC201,,
561,LUSC148,,
562,LUSC430,,
563,LUSC13,,
564,LUAD27,,
565,LUSC102,,
566,LUAD323,,
567,LUAD183,,
568,LUAD42,,
569,LUAD44,,
570,LUAD442,,
571,LUSC460,,
572,LUAD336,,
573,LUAD467,,
574,LUSC39,,
575,LUSC73,,
576,LUAD174,,
577,LUAD160,,
578,LUAD399,,
579,LUSC169,,
580,LUSC484,,
581,LUAD304,,
582,LUAD34,,
583,LUSC41,,
584,LUSC33,,
585,LUAD519,,
586,LUAD19,,
587,LUSC362,,
588,LUAD151,,
589,LUSC485,,
590,LUAD479,,
591,LUSC224,,
592,LUAD423,,
593,LUAD370,,
594,LUAD152,,
595,LUSC355,,
596,LUSC324,,
597,LUSC96,,
598,LUSC106,,
599,LUSC357,,
600,LUSC338,,
601,LUSC183,,
602,LUAD436,,
603,LUAD330,,
604,LUSC5,,
605,LUAD460,,
606,LUAD340,,
607,LUAD176,,
608,LUAD518,,
609,LUAD458,,
610,LUAD244,,
611,LUAD205,,
612,LUSC278,,
613,LUSC333,,
614,LUSC403,,
615,LUAD395,,
616,LUSC51,,
617,LUAD325,,
618,LUAD149,,
619,LUSC332,,
620,LUAD98,,
621,LUSC165,,
622,LUSC147,,
623,LUAD265,,
624,LUAD411,,
625,LUAD78,,
626,LUAD24,,
627,LUAD377,,
628,LUSC190,,
629,LUAD503,,
630,LUAD321,,
631,LUSC268,,
632,LUSC248,,
633,LUAD334,,
634,LUSC258,,
635,LUAD122,,
636,LUSC27,,
637,LUSC477,,
638,LUSC114,,
639,LUSC392,,
640,LUSC57,,
641,LUAD364,,
642,LUAD309,,
643,LUAD488,,
644,LUSC499,,
645,LUSC235,,
646,LUSC253,,
647,LUAD416,,
648,LUAD294,,
649,LUSC342,,
650,LUAD179,,
651,LUAD87,,
652,LUAD59,,
653,LUSC467,,
654,LUAD30,,
655,LUAD275,,
656,LUSC230,,
657,LUAD322,,
658,LUAD150,,
659,LUAD312,,
660,LUAD421,,
661,LUSC406,,
662,LUSC46,,
663,LUAD2,,
664,LUSC393,,
665,LUSC444,,
666,LUAD54,,
667,LUSC373,,
668,LUSC510,,
669,LUSC410,,
670,LUSC272,,
671,LUSC143,,
672,LUAD396,,
673,LUAD318,,
674,LUAD53,,
675,LUAD523,,
