,train,val,test
172,LUSC30,,LUSC168
173,LUAD248,,LUSC170
174,LUAD94,,LUAD225
175,LUSC44,,LUAD259
176,LUAD383,,LUSC166
177,LUSC453,,LUAD31
178,LUAD349,,LUSC381
179,LUSC175,,LUSC138
180,LUSC268,,LUAD202
181,LUAD419,,LUAD205
182,LUAD447,,LUAD59
183,LUAD189,,LUAD15
184,LUSC429,,LUAD265
185,LUAD371,,LUAD390
186,LUSC214,,LUAD338
187,LUAD60,,LUSC409
188,LUSC436,,LUSC221
189,LUAD110,,LUSC434
190,LUSC399,,LUSC472
191,LUAD325,,LUSC315
192,LUAD482,,LUSC69
193,LUSC180,,LUAD116
194,LUAD517,,LUAD91
195,LUAD100,,LUAD30
196,LUAD67,,LUAD46
197,LUSC506,,LUAD160
198,LUSC501,,LUAD357
199,LUAD246,,LUAD470
200,LUSC336,,LUAD250
201,LUAD431,,LUAD418
202,LUAD74,,LUSC123
203,LUAD432,,LUAD476
204,LUAD220,,LUSC482
205,LUAD41,,LUSC113
206,LUAD343,,LUAD510
207,LUSC94,,LUAD443
208,LUSC71,,LUSC47
209,LUSC137,,LUAD275
210,LUAD1,,LUAD455
211,LUAD89,,LUAD436
212,LUAD359,,LUAD437
213,LUSC327,,LUAD469
214,LUAD387,,LUAD185
215,LUAD412,,LUAD73
216,LUAD5,,LUSC239
217,LUSC419,,LUAD398
218,LUAD279,,LUAD124
219,LUAD154,,LUAD311
220,LUSC480,,LUSC242
221,LUAD268,,LUSC101
222,LUAD337,,LUAD468
223,LUAD257,,LUAD293
224,LUSC118,,LUSC262
225,LUAD312,,LUAD236
226,LUAD434,,LUSC362
227,LUAD363,,LUAD328
228,LUSC445,,LUSC300
229,LUSC287,,LUAD142
230,LUAD422,,LUAD25
231,LUSC331,,LUSC377
232,LUAD145,,LUSC430
233,LUSC283,,LUSC54
234,LUAD369,,LUAD377
235,LUSC440,,LUSC288
236,LUSC383,,LUSC458
237,LUAD95,,LUAD234
238,LUAD13,,LUSC389
239,LUSC396,,LUSC41
240,LUSC481,,LUAD33
241,LUSC53,,LUAD400
242,LUAD480,,LUAD252
243,LUSC215,,LUAD113
244,LUAD408,,LUSC225
245,LUAD200,,LUAD288
246,LUSC489,,LUSC232
247,LUSC468,,LUSC217
248,LUAD143,,LUSC318
249,LUAD21,,LUSC24
250,LUAD79,,LUSC508
251,LUSC379,,LUSC388
252,LUSC178,,LUAD72
253,LUAD380,,LUAD61
254,LUAD276,,LUAD322
255,LUSC160,,LUSC235
256,LUAD342,,LUSC293
257,LUAD456,,LUAD519
258,LUSC274,,LUAD149
259,LUSC354,,LUAD376
260,LUAD292,,
261,LUSC229,,
262,LUSC428,,
263,LUSC231,,
264,LUAD70,,
265,LUAD7,,
266,LUAD88,,
267,LUAD209,,
268,LUSC194,,
269,LUSC243,,
270,LUSC279,,
271,LUAD449,,
272,LUAD244,,
273,LUAD395,,
274,LUSC280,,
275,LUSC313,,
276,LUAD103,,
277,LUSC100,,
278,LUSC308,,
279,LUAD247,,
280,LUAD83,,
281,LUAD362,,
282,LUSC412,,
283,LUSC115,,
284,LUSC378,,
285,LUAD163,,
286,LUSC295,,
287,LUSC248,,
288,LUAD92,,
289,LUSC210,,
290,LUAD258,,
291,LUSC136,,
292,LUAD524,,
293,LUSC391,,
294,LUAD105,,
295,LUAD442,,
296,LUSC174,,
297,LUSC479,,
298,LUSC302,,
299,LUAD57,,
300,LUAD414,,
301,LUSC449,,
302,LUAD87,,
303,LUSC91,,
304,LUAD475,,
305,LUAD165,,
306,LUAD274,,
307,LUSC144,,
308,LUSC349,,
309,LUSC510,,
310,LUSC352,,
311,LUSC387,,
312,LUSC340,,
313,LUAD308,,
314,LUSC334,,
315,LUSC284,,
316,LUSC23,,
317,LUAD381,,
318,LUSC165,,
319,LUSC507,,
320,LUAD106,,
321,LUAD193,,
322,LUSC224,,
323,LUSC380,,
324,LUAD51,,
325,LUSC374,,
326,LUSC344,,
327,LUAD463,,
328,LUSC134,,
329,LUSC106,,
330,LUAD486,,
331,LUSC395,,
332,LUAD223,,
333,LUAD186,,
334,LUAD372,,
335,LUAD366,,
336,LUAD428,,
337,LUSC186,,
338,LUAD269,,
339,LUAD301,,
340,LUAD411,,
341,LUAD465,,
342,LUSC55,,
343,LUSC219,,
344,LUAD131,,
345,LUAD98,,
346,LUSC37,,
347,LUAD11,,
348,LUAD178,,
349,LUSC330,,
350,LUAD125,,
351,LUSC80,,
352,LUAD295,,
353,LUAD158,,
354,LUSC128,,
355,LUAD188,,
356,LUSC270,,
357,LUSC187,,
358,LUAD241,,
359,LUSC185,,
360,LUAD159,,
361,LUSC275,,
362,LUSC500,,
363,LUSC90,,
364,LUAD521,,
365,LUSC48,,
366,LUSC130,,
367,LUSC290,,
368,LUAD281,,
369,LUAD426,,
370,LUSC52,,
371,LUSC199,,
372,LUAD467,,
373,LUSC238,,
374,LUSC437,,
375,LUAD12,,
376,LUAD370,,
377,LUAD36,,
378,LUSC424,,
379,LUSC392,,
380,LUSC462,,
381,LUSC309,,
382,LUAD137,,
383,LUAD440,,
384,LUSC75,,
385,LUAD273,,
386,LUSC335,,
387,LUSC45,,
388,LUAD242,,
389,LUAD358,,
390,LUSC358,,
391,LUSC9,,
392,LUSC343,,
393,LUSC324,,
394,LUSC116,,
395,LUSC33,,
396,LUAD157,,
397,LUAD173,,
398,LUAD271,,
399,LUSC241,,
400,LUAD49,,
401,LUSC499,,
402,LUSC228,,
403,LUSC2,,
404,LUSC350,,
405,LUSC420,,
406,LUAD401,,
407,LUAD507,,
408,LUSC195,,
409,LUAD494,,
410,LUAD38,,
411,LUAD169,,
412,LUAD523,,
413,LUAD353,,
414,LUAD118,,
415,LUAD50,,
416,LUSC222,,
417,LUAD351,,
418,LUAD217,,
419,LUSC102,,
420,LUSC260,,
421,LUSC206,,
422,LUAD44,,
423,LUAD356,,
424,LUSC105,,
425,LUAD504,,
426,LUAD96,,
427,LUSC27,,
428,LUSC404,,
429,LUSC153,,
430,LUAD45,,
431,LUAD75,,
432,LUAD135,,
433,LUSC152,,
434,LUSC163,,
435,LUAD484,,
436,LUSC416,,
437,LUSC230,,
438,LUSC200,,
439,LUSC226,,
440,LUSC408,,
441,LUAD270,,
442,LUAD446,,
443,LUSC247,,
444,LUAD263,,
445,LUAD261,,
446,LUSC417,,
447,LUSC464,,
448,LUAD461,,
449,LUSC26,,
450,LUAD203,,
451,LUAD429,,
452,LUAD139,,
453,LUSC29,,
454,LUSC253,,
455,LUSC328,,
456,LUAD502,,
457,LUAD78,,
458,LUSC135,,
459,LUSC294,,
460,LUAD166,,
461,LUSC307,,
462,LUSC78,,
463,LUAD427,,
464,LUAD421,,
465,LUAD435,,
466,LUSC414,,
467,LUAD2,,
468,LUAD264,,
469,LUSC355,,
470,LUAD423,,
471,LUSC22,,
472,LUSC4,,
473,LUSC289,,
474,LUSC305,,
475,LUAD355,,
476,LUAD491,,
477,LUAD164,,
478,LUSC263,,
479,LUSC188,,
480,LUAD310,,
481,LUAD526,,
482,LUAD518,,
483,LUSC469,,
484,LUSC40,,
485,LUAD127,,
486,LUAD350,,
487,LUSC386,,
488,LUAD115,,
489,LUSC460,,
490,LUSC332,,
491,LUAD20,,
492,LUSC182,,
493,LUSC70,,
494,LUAD464,,
495,LUAD174,,
496,LUAD375,,
497,LUSC261,,
498,LUAD481,,
499,LUAD334,,
500,LUSC176,,
501,LUSC364,,
502,LUAD360,,
503,LUSC423,,
504,LUAD321,,
505,LUSC56,,
506,LUSC61,,
507,LUSC390,,
508,LUSC415,,
509,LUAD445,,
510,LUSC291,,
511,LUAD457,,
512,LUSC461,,
513,LUSC158,,
514,LUAD138,,
515,LUAD101,,
516,LUAD17,,
517,LUSC211,,
518,LUSC306,,
519,LUSC405,,
520,LUAD180,,
521,LUAD471,,
522,LUAD216,,
523,LUSC147,,
524,LUSC104,,
525,LUAD496,,
526,LUSC457,,
527,LUSC50,,
528,LUAD63,,
529,LUSC276,,
530,LUSC356,,
531,LUAD283,,
532,LUSC292,,
533,LUAD227,,
534,LUSC298,,
535,LUAD14,,
536,LUAD290,,
537,LUAD58,,
538,LUSC236,,
539,LUSC451,,
540,LUAD499,,
541,LUAD305,,
542,LUAD448,,
543,LUSC36,,
544,LUSC511,,
545,LUAD56,,
546,LUAD76,,
547,LUAD16,,
548,LUSC454,,
549,LUAD460,,
550,LUSC65,,
551,LUAD315,,
552,LUAD302,,
553,LUAD272,,
554,LUSC93,,
555,LUSC365,,
556,LUSC385,,
557,LUAD23,,
558,LUAD211,,
559,LUSC495,,
560,LUSC156,,
561,LUSC249,,
562,LUAD509,,
563,LUAD299,,
564,LUAD226,,
565,LUAD238,,
566,LUSC403,,
567,LUSC124,,
568,LUSC471,,
569,LUAD489,,
570,LUAD243,,
571,LUAD487,,
572,LUAD520,,
573,LUAD508,,
574,LUSC338,,
575,LUAD133,,
576,LUSC171,,
577,LUSC281,,
578,LUSC192,,
579,LUSC250,,
580,LUAD485,,
581,LUSC140,,
582,LUSC51,,
583,LUAD114,,
584,LUAD388,,
585,LUSC59,,
586,LUSC111,,
587,LUAD512,,
588,LUAD99,,
589,LUAD26,,
590,LUSC251,,
591,LUSC204,,
592,LUSC366,,
593,LUSC486,,
594,LUSC209,,
595,LUSC12,,
596,LUSC68,,
597,LUSC159,,
598,LUAD39,,
599,LUAD121,,
600,LUSC190,,
601,LUSC282,,
602,LUAD179,,
603,LUAD196,,
604,LUAD4,,
605,LUSC478,,
606,LUAD197,,
607,LUAD136,,
608,LUAD515,,
609,LUSC488,,
610,LUSC373,,
611,LUAD68,,
612,LUAD29,,
613,LUAD245,,
614,LUSC98,,
615,LUSC258,,
616,LUSC207,,
617,LUSC353,,
618,LUAD378,,
619,LUAD128,,
620,LUAD289,,
621,LUAD506,,
622,LUSC310,,
623,LUSC503,,
624,LUSC363,,
625,LUAD260,,
626,LUSC169,,
627,LUSC42,,
628,LUAD129,,
629,LUAD55,,
630,LUAD314,,
631,LUAD433,,
632,LUAD117,,
633,LUSC31,,
634,LUAD192,,
635,LUAD330,,
636,LUSC198,,
637,LUSC58,,
638,LUSC28,,
639,LUAD333,,
640,LUAD420,,
641,LUAD190,,
642,LUSC361,,
643,LUAD130,,
644,LUSC119,,
645,LUAD172,,
646,LUSC465,,
647,LUSC161,,
648,LUAD415,,
649,LUAD102,,
650,LUAD213,,
651,LUSC96,,
652,LUSC317,,
653,LUSC375,,
654,LUAD352,,
655,LUSC418,,
656,LUAD43,,
657,LUAD444,,
658,LUSC76,,
659,LUSC150,,
660,LUSC173,,
661,LUSC278,,
662,LUAD320,,
663,LUAD120,,
664,LUSC19,,
665,LUSC329,,
666,LUAD214,,
667,LUAD62,,
668,LUAD71,,
669,LUAD345,,
670,LUSC39,,
671,LUAD86,,
672,LUSC208,,
673,LUSC483,,
674,LUAD458,,
675,LUSC107,,
